cluster_name,n_nuclei,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,20 MB GABA,24 MY Glut,26 P GABA,27 MY GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
Astrocytes,6954,0.067443,0.0,0.0,0.000288,0.007334,0.0,0.0,0.0,0.000431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924504,0.0,0.0,0.0,0.0
Basal-Ganglia-GABAergic-Neurons,561,0.976827,0.001783,0.0,0.001783,0.001783,0.0,0.00713,0.0,0.003565,0.0,0.001783,0.0,0.0,0.0,0.0,0.0,0.001783,0.001783,0.0,0.001783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cholinergic-Neurons,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.844828,0.0,0.017241,0.017241,0.034483,0.034483,0.0,0.0,0.034483,0.017241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choroid-Plexus-Epithelial-Cells,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Endothelial-cell,1485,0.000673,0.0,0.0,0.0,0.000673,0.0,0.0,0.0,0.001347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000673,0.000673,0.0,0.995286,0.000673
Ependymal-cell,472,0.0,0.002119,0.0,0.0,0.002119,0.0,0.0,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,0.0,0.989407,0.002119,0.0,0.0,0.0
Erbb4-VIP-inhibitory-neurons,8091,0.0,0.0,0.0,0.000247,0.999011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000371,0.000371,0.0,0.0,0.0
Erbb4-inhibitory-neurons,1579,0.000633,0.000633,0.0,0.0,0.0,0.002533,0.978467,0.0095,0.0,0.0,0.0038,0.0019,0.0,0.0,0.0,0.0,0.0,0.002533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory principal neurons in the hippocampal dentate gyrus,1583,0.000632,0.0,0.0,0.999368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory-Pyramidal,2570,0.989883,0.000389,0.0,0.001556,0.0,0.0,0.000389,0.0,0.000389,0.0,0.0,0.0,0.005447,0.0,0.0,0.0,0.001167,0.0,0.0,0.000389,0.000389,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory-Pyramidal-Satb2-Cux2,5023,0.999005,0.000398,0.0,0.000199,0.000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory-Rorb,3582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory-neurons,1526,0.70118,0.292923,0.000655,0.000655,0.0,0.0,0.0,0.000655,0.0,0.0,0.000655,0.0,0.002621,0.0,0.0,0.0,0.0,0.0,0.000655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excitatory-neurons-Cajal-Retzius-cells-layer-I-Reelin,286,0.0,0.0,0.993007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003497,0.0,0.003497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foxp2-Excitatory-Neurons-layers-6-and-2-3,2774,0.002163,0.996756,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0
GABAergic inhibitory interneurons,339,0.0,0.0,0.0,0.0,0.00295,0.0,0.0,0.0,0.979351,0.00295,0.011799,0.0,0.00295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABAergic-inhibitory-interneurons-Dlx6os1-Erbb4,421,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABAergic-inhibitory-interneurons-VIP-positive,66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glutamatergic-excitatory-neurons-Cortical-layer-2-4-pyramidal-neurons,112,0.008929,0.0,0.401786,0.0,0.0,0.0,0.0,0.008929,0.0,0.0,0.0,0.0,0.544643,0.017857,0.0,0.008929,0.0,0.0,0.008929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inhibitory-Neurons,543,0.003683,0.0,0.0,0.0,0.031308,0.014733,0.003683,0.307551,0.049724,0.202578,0.106814,0.167587,0.027624,0.005525,0.020258,0.0,0.003683,0.053407,0.0,0.001842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
