cluster_name,wmb_class_v2,plurality_fraction,n_nuclei,n_plurality,second_class,second_fraction,unmapped_fraction,wmb_class_v1_hand,v1_confidence,v1_notes,agrees_with_v1
Excitatory-Pyramidal-Satb2-Cux2,01 IT-ET Glut,0.999,5023,5018,02 NP-CT-L6b Glut,0.0004,0.0,01 IT-ET Glut,clean,Upper-layer cortical IT,True
Excitatory-Rorb,01 IT-ET Glut,1.0,3582,3582,17 MH-LH Glut,0.0,0.0,01 IT-ET Glut,clean,Rorb is canonical L4 IT marker,True
Excitatory-Pyramidal,01 IT-ET Glut,0.9899,2570,2544,13 CNU-HYa Glut,0.0054,0.0,01 IT-ET Glut,clean,Cortical pyramidal IT/ET,True
Excitatory-neurons,01 IT-ET Glut,0.7012,1526,1070,02 NP-CT-L6b Glut,0.2929,0.0,01 IT-ET Glut,ambiguous,Generic excitatory; defaulted to cortical IT-ET,True
cluster-27,01 IT-ET Glut,0.4058,823,334,30 Astro-Epen,0.3718,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
Basal-Ganglia-GABAergic-Neurons,01 IT-ET Glut,0.9768,561,548,07 CTX-MGE GABA,0.0071,0.0,09 CNU-LGE GABA,ambiguous,Basal ganglia GABA; CNU-LGE most common,False
cluster-64,01 IT-ET Glut,0.9776,402,393,13 CNU-HYa Glut,0.0124,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-69,01 IT-ET Glut,0.9972,357,356,02 NP-CT-L6b Glut,0.0028,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-76,01 IT-ET Glut,0.5325,323,172,30 Astro-Epen,0.1362,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-90,01 IT-ET Glut,0.2791,172,48,04 DG-IMN Glut,0.2267,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-94,01 IT-ET Glut,0.987,154,152,02 NP-CT-L6b Glut,0.013,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-97,01 IT-ET Glut,0.7895,114,90,10 LSX GABA,0.0614,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-109,01 IT-ET Glut,1.0,27,27,17 MH-LH Glut,0.0,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
Foxp2-Excitatory-Neurons-layers-6-and-2-3,02 NP-CT-L6b Glut,0.9968,2774,2765,01 IT-ET Glut,0.0022,0.0,02 NP-CT-L6b Glut,ambiguous,Foxp2 marks L6 CT/NP — closer to NP-CT-L6b than IT-ET,True
Excitatory-neurons-Cajal-Retzius-cells-layer-I-Reelin,03 OB-CR Glut,0.993,286,284,11 CNU-HYa GABA,0.0035,0.0,03 OB-CR Glut,clean,Cajal-Retzius cells under OB-CR class,True
cluster-86,03 OB-CR Glut,0.8,225,180,01 IT-ET Glut,0.0267,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-105,03 OB-CR Glut,1.0,59,59,01 IT-ET Glut,0.0,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
Excitatory principal neurons in the hippocampal dentate gyrus,04 DG-IMN Glut,0.9994,1583,1582,01 IT-ET Glut,0.0006,0.0,04 DG-IMN Glut,clean,Dentate granule neurons,True
Erbb4-VIP-inhibitory-neurons,05 OB-IMN GABA,0.999,8091,8083,31 OPC-Oligo,0.0004,0.0,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory,False
VIP-positive-interneuron,05 OB-IMN GABA,0.7222,1386,1001,06 CTX-CGE GABA,0.2763,0.0,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory,False
Ndnf-positive-neurogliaform-inhibitory-interneurons-GABAergic,05 OB-IMN GABA,1.0,751,751,01 IT-ET Glut,0.0,0.0,06 CTX-CGE GABA,clean,Ndnf+ neurogliaform under Lamp5/CGE,False
GABAergic-inhibitory-interneurons-Dlx6os1-Erbb4,05 OB-IMN GABA,1.0,421,421,01 IT-ET Glut,0.0,0.0,07 CTX-MGE GABA,ambiguous,Dlx6os1+Erbb4; defaulted to MGE,False
cluster-85,05 OB-IMN GABA,0.9959,244,243,09 CNU-LGE GABA,0.0041,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
cluster-93,05 OB-IMN GABA,0.9873,158,156,09 CNU-LGE GABA,0.0127,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
GABAergic-inhibitory-interneurons-VIP-positive,05 OB-IMN GABA,1.0,66,66,01 IT-ET Glut,0.0,0.0,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory,False
Reln-neurons,06 CTX-CGE GABA,0.6591,1100,725,07 CTX-MGE GABA,0.1891,0.0,03 OB-CR Glut,ambiguous,Reelin+ neurons; assumed CR-like,False
Erbb4-inhibitory-neurons,07 CTX-MGE GABA,0.9785,1579,1545,08 CNU-MGE GABA,0.0095,0.0,07 CTX-MGE GABA,ambiguous,Erbb4 alone is ambiguous; defaulted to MGE,True
cluster-108,07 CTX-MGE GABA,1.0,53,53,01 IT-ET Glut,0.0,0.0,Unclassified,unmapped,Unnamed reclustered cluster,False
