cluster_name,wmb_class,confidence_in_mapping,notes
Astrocytes,30 Astro-Epen,clean,Astrocyte; direct match
Ptprz1-protoplasmic-astrocytes,30 Astro-Epen,clean,Protoplasmic astrocyte subtype
Oligodendrocytes,31 OPC-Oligo,clean,Direct match
OPC,31 OPC-Oligo,clean,Direct match (OPC subclass within OPC-Oligo)
Microglia,34 Immune,clean,Direct match
Endothelial-cell,33 Vascular,clean,Direct match
Pericyte,33 Vascular,clean,Mural cells fall under Vascular class
Vascular-Leptomeningeal-Cells,33 Vascular,clean,VLMC under Vascular class
Choroid-Plexus-Epithelial-Cells,30 Astro-Epen,clean,Ependymal lineage
Ependymal-cell,30 Astro-Epen,clean,Direct match
Excitatory-Rorb,01 IT-ET Glut,clean,Rorb is canonical L4 IT marker
Excitatory-Pyramidal,01 IT-ET Glut,clean,Cortical pyramidal IT/ET
Excitatory-Pyramidal-Satb2-Cux2,01 IT-ET Glut,clean,Upper-layer cortical IT
Foxp2-Excitatory-Neurons-layers-6-and-2-3,02 NP-CT-L6b Glut,ambiguous,Foxp2 marks L6 CT/NP — closer to NP-CT-L6b than IT-ET
Glutamatergic-excitatory-neurons-Cortical-layer-2-4-pyramidal-neurons,01 IT-ET Glut,clean,Cortical L2-4 IT
glutamatergic-excitatory-neurons,01 IT-ET Glut,ambiguous,Generic cortical excitatory; defaulted to IT-ET
Excitatory-neurons,01 IT-ET Glut,ambiguous,Generic excitatory; defaulted to cortical IT-ET
Excitatory principal neurons in the hippocampal dentate gyrus,04 DG-IMN Glut,clean,Dentate granule neurons
Excitatory-neurons-Cajal-Retzius-cells-layer-I-Reelin,03 OB-CR Glut,clean,Cajal-Retzius cells under OB-CR class
Reln-neurons,03 OB-CR Glut,ambiguous,Reelin+ neurons; assumed CR-like
VIP-positive-interneuron,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory
Erbb4-VIP-inhibitory-neurons,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory
GABAergic-inhibitory-interneurons-VIP-positive,06 CTX-CGE GABA,clean,VIP+ CGE-derived inhibitory
Ndnf-positive-neurogliaform-inhibitory-interneurons-GABAergic,06 CTX-CGE GABA,clean,Ndnf+ neurogliaform under Lamp5/CGE
Erbb4-inhibitory-neurons,07 CTX-MGE GABA,ambiguous,Erbb4 alone is ambiguous; defaulted to MGE
GABAergic-inhibitory-interneurons-Dlx6os1-Erbb4,07 CTX-MGE GABA,ambiguous,Dlx6os1+Erbb4; defaulted to MGE
Inhibitory-Neurons,07 CTX-MGE GABA,ambiguous,Generic inhibitory; defaulted to cortical MGE
GABAergic inhibitory interneurons,07 CTX-MGE GABA,ambiguous,Generic GABAergic; defaulted to cortical MGE
Striatal-medium-spiny-neuron,09 CNU-LGE GABA,clean,MSN under CNU-LGE
Basal-Ganglia-GABAergic-Neurons,09 CNU-LGE GABA,ambiguous,Basal ganglia GABA; CNU-LGE most common
Cholinergic-Neurons,11 CNU-HYa GABA,ambiguous,Striatal/basal forebrain cholinergic; CNU-HYa best fit
cluster-27,Unclassified,unmapped,Unnamed reclustered cluster
cluster-64,Unclassified,unmapped,Unnamed reclustered cluster
cluster-69,Unclassified,unmapped,Unnamed reclustered cluster
cluster-76,Unclassified,unmapped,Unnamed reclustered cluster
cluster-81,Unclassified,unmapped,Unnamed reclustered cluster
cluster-85,Unclassified,unmapped,Unnamed reclustered cluster
cluster-86,Unclassified,unmapped,Unnamed reclustered cluster
cluster-90,Unclassified,unmapped,Unnamed reclustered cluster
cluster-93,Unclassified,unmapped,Unnamed reclustered cluster
cluster-94,Unclassified,unmapped,Unnamed reclustered cluster
cluster-97,Unclassified,unmapped,Unnamed reclustered cluster
cluster-102,Unclassified,unmapped,Unnamed reclustered cluster
cluster-105,Unclassified,unmapped,Unnamed reclustered cluster
cluster-108,Unclassified,unmapped,Unnamed reclustered cluster
cluster-109,Unclassified,unmapped,Unnamed reclustered cluster
